rank,bookId,title,series,numberOfSeries,author,authorLastFirst,description,language,genres,characters,setting,coverImg,bookFormat,edition,pages,publisher,publishedYear,firstPublishYear,awards,rating,numRatings,ISBN,ISBN13
17,6339664,"Hush, Hush","Hush, Hush ",#1,Becca Fitzpatrick,"Fitzpatrick, Becca","Romance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel.For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life.",English,"Young Adult, Fantasy, Romance, Paranormal, Angels, Paranormal Romance, Supernatural, Fiction, Urban Fantasy, Young Adult Fantasy","Nora Grey, Jev ""Patch"" Cipriano, Vee Sky, Marcie Millar, Rixon, Elliot Saunders","Coldwater, Maine (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334l/6339664.jpg,Hardcover,First Edition,391,Simon & Schuster BFYR,2009,2009,Goodreads Choice Award Nominee for Young Adult Series (2009),3.97,573419,1416989412,9781416989417
18,16068905,Fangirl,,,Rainbow Rowell,"Rowell, Rainbow","A coming-of-age tale of fan fiction, family and first love.
Cath is a Simon Snow fan.Okay, the whole world is a Simon Snow fan..But for Cath, being a fan is her life—and she's really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it's what got them through their mother leaving. Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fan fiction, dressing up like the characters for every movie premiere.Cath's sister has mostly grown away from fandom, but Cath can't let go. She doesn't want to.Now that they're going to college, Wren has told Cath she doesn't want to be roommates. Cath is on her own, completely outside of her comfort zone. She's got a surly roommate with a charming, always-around boyfriend, a fiction-writing professor who thinks fan fiction is the end of the civilized world, a handsome classmate who only wants to talk about words... And she can't stop worrying about her dad, who's loving and fragile and has never really been alone.For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? Writing her own stories?And does she even want to move on if it means leaving Simon Snow behind?",English,"Young Adult, Contemporary, Romance, Fiction, Realistic Fiction, New Adult, Audiobook, Chick Lit, Coming Of Age, Young Adult Contemporary","Wren, Cath Avery, Levi","Lincoln, Nebraska (United States), Omaha, Nebraska (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270l/16068905.jpg,Kindle Edition,,483,St. Martin's Griffin,2013,2013,"Milwaukee County Teen Book Award Nominee (2015), The Inky Awards Nominee for Silver Inky (2015), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fiction (2013), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)",4.05,574854,,
19,15745753,Eleanor & Park,,,Rainbow Rowell,"Rowell, Rainbow","Eleanor is the new girl in town, and with her chaotic family life, her mismatched clothes and unruly red hair, she couldn't stick out more if she tried.Park is the boy at the back of the bus. Black T-shirts, headphones, head in a book - he thinks he's made himself invisible. But not to Eleanor... never to Eleanor.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall for each other. They fall in love the way you do the first time, when you're young, and you feel as if you have nothing and everything to lose.",English,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Audiobook, Teen, Coming Of Age, Young Adult Contemporary, High School","Park Sheridan, Eleanor Douglas","Omaha, Nebraska (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742l/15745753.jpg,Hardcover,,328,St. Martin's Press,2013,2012,"Georgia Peach Book Award (2014), All About Romance (AAR) Annual Reader Poll for Best Young Adult Romance (2014), Odyssey Award Nominee (2014), Michael L. Printz Award Nominee (2014), ""Pennsylvania Young Readers Choice Award for Young Adults (2015)"", Rhode Island Teen Book Award (2015), Milwaukee County Teen Book Award (2014), Michigan Library Association Thumbs Up! Award (2014), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2016), Amelia Elizabeth Walden Award (2014), Boston Globe-Horn Book Award for Fiction (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek (2015), California Young Readers Medal Nominee for Young Adult (2016), Lincoln Award (2015), DABWAHA Romance Tournament Nominee for Best Young Adult Romance (2014), North Carolina Young Adult Book Award for High School (2016), Goodreads Choice Award for Young Adult Fiction (2013) and Nominee for Best of the Best  (2018), Green Mountain Book Award Nominee (2015), The Magnolia Award for 9-12 (2015), Missouri Gateway Readers Award Nominee (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2013)",4.05,860151,1250012570,9781250012579
20,3236307,Graceling,Graceling Realm ,#1,Kristin Cashore,"Cashore, Kristin","Katsa has been able to kill a man with her bare hands since she was eight—she's a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king's thug. She never expects to fall in love with beautiful Prince Po. She never expects to learn the truth behind her Grace—or the terrible secret that lies hidden far away . . . a secret that could destroy all seven kingdoms with words alone. With elegant, evocative prose and a cast of unforgettable characters, debut author Kristin Cashore creates a mesmerizing world, a death-defying adventure, and a heart-racing romance that will consume you, hold you captive, and leave you wanting more.",English,"Fantasy, Young Adult, Romance, Fiction, Adventure, Young Adult Fantasy, Magic, High Fantasy, Teen, Paranormal","Katsa (Graceling Realm), Bitterblue, Leck (Graceling Realm), Randa (Graceling Realm), Grandfather Tealiff, Po (Graceling Realm)",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331548394l/3236307.jpg,Hardcover,,471,Harcourt,2008,2008,"Locus Award Nominee for Best First Novel (2009), ""Mythopoeic Fantasy Award for Childrens Literature (2009)"", William C. Morris YA Debut Award Nominee (2009), Rhode Island Teen Book Award (2011), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal Nominee for High School Book (2010), Florida Teens Read Nominee (2010), Amelia Elizabeth Walden Award Nominee (2009), Iowa High School Book Award Nominee (2011), California Young Readers Medal for Young Adult (2012), Lincoln Award Nominee (2011), Andre Norton Award Nominee (2008), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2008), Green Mountain Book Award (2011), Missouri Gateway Readers Award Nominee (2011), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",4.08,384727,,9780152063962
21,6936382,Anna and the French Kiss,Anna and the French Kiss ,#1,Stephanie Perkins,"Perkins, Stephanie","Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shipped off to boarding school in Paris--until she meets Étienne St. Clair. Smart, charming, beautiful, Étienne has it all...including a serious girlfriend. But in the City of Light, wishes have a way of coming true. Will a year of romantic near-misses end with their long-awaited French kiss?",English,"Young Adult, Romance, Contemporary, Chick Lit, Fiction, Realistic Fiction, Young Adult Contemporary, Contemporary Romance, Teen, Young Adult Romance","Anna Oliphant, Étienne St. Clair, Meredith Chevalier, Rashmi, Joshua Wasserstein, Ellie, Bridgette Saunderwick, Christopher, Dave Higgenbottom, Sean Oliphant, Kevin Quiggley, Amanda Spitterton-Watts, Matt, Isla Martin","Paris (France), Atlanta, Georgia (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358271931l/6936382.jpg,Hardcover,,372,Dutton Juvenile,2010,2010,"Georgia Peach Book Award Nominee for Honor book (2012), ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2013)"", Milwaukee County Teen Book Award Nominee (2012), The Inky Awards Nominee for Silver Inky (2011), Lincoln Award Nominee (2013), CYBILS Award Nominee for Young Adult Fiction (2011), Goodreads Choice Award Nominee for Goodreads Author, Young Adult Fiction  (2010)",4.01,363864,0525423273,9780525423270
22,7896527,Throne of Glass,Throne of Glass ,#1,Sarah J. Maas,"Maas, Sarah J.","After serving out a year of hard labor in the salt mines of Endovier for her crimes, 18-year-old assassin Celaena Sardothien is dragged before the Crown Prince. Prince Dorian offers her her freedom on one condition: she must act as his champion in a competition to find a new royal assassin.Her opponents are men-thieves and assassins and warriors from across the empire, each sponsored by a member of the king's council. If she beats her opponents in a series of eliminations, she'll serve the kingdom for four years and then be granted her freedom. Celaena finds her training sessions with the captain of the guard, Westfall, challenging and exhilarating. But she's bored stiff by court life. Things get a little more interesting when the prince starts to show interest in her ... but it's the gruff Captain Westfall who seems to understand her best.Then one of the other contestants turns up dead ... quickly followed by another. Can Celaena figure out who the killer is before she becomes a victim? As the young assassin investigates, her search leads her to discover a greater destiny than she could possibly have imagined.",English,"Fantasy, Young Adult, Romance, Fiction, Magic, Young Adult Fantasy, High Fantasy, New Adult, Adventure, Paranormal","Celaena Sardothien, Chaol Westfall, Prince Dorian Havilliard, Princess Nehemia Ytger, Kaltain Rompier","Rifthold, Adarlan",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054l/7896527.jpg,Hardcover,,406,Bloomsbury USA Children's,2012,2012,"Lincoln Award Nominee (2015), North Carolina Young Adult Book Award for High School (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)",4.2,596208,,
23,51738,Just Listen,,,Sarah Dessen,"Dessen, Sarah","Last year, Annabel was ""the girl who has everything"" at least that's the part she played in the television commercial for Kopf's Department Store.This year, she's the girl who has nothing: no best friend because mean-but-exciting Sophie dropped her, no peace at home since her older sister became anorexic, and no one to sit with at lunch. Until she meets Owen Armstrong. Tall, dark, and music-obsessed, Owen is a reformed bad boy with a commitment to truth-telling. With Owen's help, maybe Annabel can face what happened the night she and Sophie stopped being friends.",English,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen, Music, Young Adult Contemporary, High School","Annabel Greene, Owen Armstrong, Whitney Greene","Lakeview, North Carolina (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358270741l/51738.jpg,Hardcover,,371,Viking Books,2006,2006,"Rhode Island Teen Book Award Nominee (2009), Iowa High School Book Award (2009), Lincoln Award Nominee (2011), Missouri Gateway Readers Award (2009), Margaret A. Edwards Award (2017)",4.06,231380,0670061050,9780670061051
24,12578077,Obsidian,Lux ,#1,Jennifer L. Armentrout,"Armentrout, Jennifer L.","Starting over sucks.When we moved to West Virginia right before my senior year, I'd pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.And then he opened his mouth.Daemon is infuriating. Arrogant. Stab-worthy. We do not get along. At all. But when a stranger attacks me and Daemon literally freezes time with a wave of his hand, well, something… unexpected happens. The hot alien living next door marks me.You heard me. Alien. Turns out Daemon and his sister have a galaxy of enemies wanting to steal their abilities, and Daemon's touch has me lit up like the Vegas Strip. The only way I'm getting out of this alive is by sticking close to Daemon until my alien mojo fades. If I don't kill him first, that is.",English,"Young Adult, Paranormal, Fantasy, Romance, Aliens, Science Fiction, Paranormal Romance, Supernatural, Urban Fantasy, Fiction","Daemon Black, Adam Thompson, Katy Swartz, Dee Black, Andrew Thompson, Ash Thompson, Matthew Garrison",West Virginia (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328275091l/12578077.jpg,Paperback,2nd Edition,335,Entangled Teen,2012,2011,,4.18,225596,,
25,51737,The Truth About Forever,,,Sarah Dessen,"Dessen, Sarah","That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.But sometimes, unexpected things can happen—things such as the catering job at Wish, with its fun-loving, chaotic crew. Or her sister's project of renovating the neglected beach house, awakening long-buried memories. Things such as meeting Wes, a boy with a past, a taste for Truth-telling, and an amazing artistic talent, the kind of boy who could turn any girl's world upside down. As Macy ventures out of her shell, she begins to question her sheltered life.",English,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen, Young Adult Contemporary, Young Adult Romance, High School","Macy Queen, Wes Baker, Monica Palmetto, Kristy Palmetto, Bert Baker, Caroline Queen, Jason Talbot, Deborah Queen",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362767907l/51737.jpg,Paperback,,374,Penguin Group Inc.,2004,2004,"""Romantic Times Reviewers Choice Award (RT Award) for Urban Fantasy (2004)"", South Carolina Book Award for Young Adult Book Award (2007), Lincoln Award Nominee (2006), Missouri Gateway Readers Award Nominee (2007), Margaret A. Edwards Award (2017)",4.12,208954,0142406252,9780142406250
26,8490112,Daughter of Smoke & Bone,Daughter of Smoke & Bone ,#1,Laini Taylor,"Taylor, Laini","Around the world, black hand prints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky.In a dark and dusty shop, a devil's supply of human teeth grows dangerously low.And in the tangled lanes of Prague, a young art student is about to be caught up in a brutal otherworldly war.Meet Karou. She fills her sketchbooks with monsters that may or may not be real, she's prone to disappearing on mysterious ""errands"", she speaks many languages - not all of them human - and her bright blue hair actually grows out of her head that color. Who is she? That is the question that haunts her, and she's about to find out.When beautiful, haunted Akiva fixes fiery eyes on her in an alley in Marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. But will Karou live to regret learning the truth about herself?",English,"Fantasy, Young Adult, Romance, Paranormal, Angels, Urban Fantasy, Fiction, Magic, Young Adult Fantasy, Supernatural","Madrigal, Karou, Akiva (Daughter of Smoke & Bone), Kazimir, Zuzana, Issa, Brimstone, Thiago, Mik, Ziri","Prague (Praha) (Czech Republic), Marrakech (Marrakesh) (Morocco), Eretz",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461353773l/8490112.jpg,Hardcover,US,418,"Little, Brown Books for Young Readers",2011,2011,"Locus Award Nominee for Best Young Adult Novel (2012), Audie Award for Fantasy (2012), Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), ""Childrens Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Oregon Spirit Book Award for Young Adult (2011), Lincoln Award Nominee (2014), Andre Norton Award Nominee (2011), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book (2011), The Inky Awards Shortlist for Silver Inky (2012), Missouri Gateway Readers Award Nominee (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)",4.01,310751,0316134023,9780316134026
27,6294,Howl's Moving Castle,Howl's Moving Castle ,#1,Diana Wynne Jones,"Jones, Diana Wynne","An alternative cover for this ISBN can be found hereSophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.",English,"Fantasy, Young Adult, Fiction, Romance, Magic, Middle Grade, Childrens, Adventure, Classics, Young Adult Fantasy","Michael (angel), Wizard Howl, Sophie Hatter, Calcifer, Witch of the Waste, Lily Angorian","Ingary, Porthaven, Wales",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407450489l/6294.jpg,Mass Market Paperback,Greenwillow Books,329,Harper Trophy,2001,1986,"""Phoenix Award (Childrens Literature Association) (2006)"", Boston Globe-Horn Book Award (1987)",4.26,215856,006441034X,9780064410342
28,10194514,Pushing the Limits,Pushing the Limits ,#1,Katie McGarry,"McGarry, Katie","""I won't tell anyone, Echo. I promise."", Noah tucked a curl behind my ear. It had been so long since someone touched me like he did. Why did it have to be Noah Hutchins?�His dark brown eyes shifted to my covered arms. ""You didn't do that-did you? It was done to you?""�No one ever asked that question. They stared. They whispered. They laughed. But they never asked.So wrong for each other...and yet so right.No one knows what happened the night Echo Emerson went from popular girl with jock boyfriend to gossiped-about outsider with ""freaky"" scars on her arms. Even Echo can't remember the whole truth of that horrible night. All she knows is that she wants everything to go back to normal.�But when Noah Hutchins, the smoking-hot, girl-using loner in the black leather jacket, explodes into her life with his tough attitude and surprising understanding, Echo's world shifts in ways she could never have imagined. They should have nothing in common. And with the secrets they both keep, being together is pretty much impossible. Yet the crazy attraction between them refuses to go away. And Echo has to ask herself just how far they can push the limits and what she'll risk for the one guy who might teach her how to love again...",English,"Romance, Young Adult, Contemporary, New Adult, Contemporary Romance, High School, Realistic Fiction, Fiction, Young Adult Romance, Young Adult Contemporary","Echo Emerson, Noah Hutchins",Kentucky (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322770025l/10194514.jpg,Hardcover,,392,Harlequin Teen,2012,2012,"RITA Award by Romance Writers of America Nominee for First Book & Nominee for Young Adult Romance (2013), ""Romantic Times Reviewers Choice Award (RT Award) Nominee for Best Young Adult Contemporary Novel (2012)"", Gayle Wilson Award of Excellence for Young Adult Fiction (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2012), ""New England Chapter RWA Readers Choice for Young Adult Fiction (2013)""",4.06,114086,0373210493,9780373210497
29,8705784,Born at Midnight,Shadow Falls ,#1,C.C. Hunter,"Hunter, C.C.","Don't miss this spectacular new series that will steal your heart and haunt your dreams, Welcome to Shadow Falls camp, nestled deep in the woods of a town called Fallen…One night Kylie Galen finds herself at the wrong party, with the wrong people, and it changes her life forever. Her mother ships her off to Shadow Falls—a camp for troubled teens, and within hours of arriving, it becomes painfully clear that her fellow campers aren't just “troubled.” Here at Shadow Falls, vampires, werewolves, shapeshifters, witches and fairies train side by side—learning to harness their powers, control their magic and live in the normal world.Kylie's never felt normal, but surely she doesn't belong here with a bunch of paranormal freaks either. Or does she? They insist Kylie is one of them, and that she was brought here for a reason. As if life wasn't complicated enough, enter Derek and Lucas. Derek's a half-fae who's determined to be her boyfriend, and Lucas is a smokin' hot werewolf with whom Kylie shares a secret past. Both Derek and Lucas couldn't be more different, but they both have a powerful hold on her heart. Even though Kylie feels deeply uncertain about everything, one thing is becoming painfully clear—Shadow Falls is exactly where she belongs…",English,"Young Adult, Fantasy, Paranormal, Vampires, Romance, Werewolves, Supernatural, Paranormal Romance, Magic, Witches","Della, Derek, Lucas Ross, Miranda, Kylie Galen, Burnet",Texas (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546092698l/8705784._SY475_.jpg,Paperback,,398,St. Martin's Griffin,2011,2011,Gayle Wilson Award of Excellence for Young Adult (2012),4.12,81877,0312624670,9780312624675
30,8835379,Rubinrot,Edelstein-Trilogie ,#1,Kerstin Gier,"Gier, Kerstin","Manchmal ist es ein echtes Kreuz, in einer Familie zu leben, die jede Menge Geheimnisse hat. Der Überzeugung ist zumindest die 16-jährige Gwendolyn.Bis sie sich eines Tages aus heiterem Himmel im London um die letzte Jahrhundertwende wiederfindet. Und ihr klar wird, dass ausgerechnet sie das allergrößte Geheimnis ihrer Familie ist. Was ihr dagegen nicht klar ist: Dass man sich zwischen den Zeiten möglichst nicht verlieben sollte. Denn das macht die Sache erst recht kompliziert!",German,"Fantasy, Young Adult, Time Travel, Romance, Historical Fiction, Science Fiction, Fiction, Paranormal, Historical, Mystery","Grace Shepherd, Leslie Hay, Gideon de Villiers, Cynthia Dale, Gwendolyn Shepherd, Gordan Gelderman, James Augustus Peregrine Pympoole-Bothame","Hyde Park, London, England",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327918185l/6325285.jpg,Hardcover,,343,Arena Verlag,2011,2009,,4.1,111928,0805092528,9780805092523
31,16096824,A Court of Thorns and Roses,A Court of Thorns and Roses ,#1, Sarah J. Maas,"Maas, Sarah J.","Feyre's survival rests upon her ability to hunt and kill and the forest where she lives is a cold, bleak place in the long winter months. So when she spots a deer in the forest being pursued by a wolf, she cannot resist fighting it for the flesh. But to do so, she must kill the predator and killing something so precious comes at a price ...Dragged to a magical kingdom for the murder of a faerie, Feyre discovers that her captor, his face obscured by a jewelled mask, is hiding far more than his piercing green eyes would suggest. Feyre's presence at the court is closely guarded, and as she begins to learn why, her feelings for him turn from hostility to passion and the faerie lands become an even more dangerous place. Feyre must fight to break an ancient curse, or she will lose him forever.",English,"Fantasy, Young Adult, Romance, New Adult, Retellings, Fiction, Magic, Fae, Young Adult Fantasy, Paranormal","Amarantha, Feyre Archeron, Tamlin, Lucien Vanserra, Rhysand, Nesta Archeron, Elain Archeron",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406962l/16096824._SY475_.jpg,Hardcover,1st Edition,419,Bloomsbury USA Childrens,2015,2015,"Lincoln Award Nominee (2017), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2015)",4.22,476270,1619634449,9781619634442
32,231804,The Outsiders,,,S.E. Hinton,"Hinton, S.E.","The Outsiders is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.Librarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the 1988 cover (this record), the 1995 cover, and the 2008 cover which is also the current in-print cover.",English,"Classics, Young Adult, Fiction, School, Realistic Fiction, Read For School, Coming Of Age, Historical Fiction, Contemporary, Teen","Ponyboy Curtis, Sodapop Curtis, Darrel ""Darry"" Curtis, Dallas ""Dally"" Winston, Johnny Cade, Keith ""Two-Bit"" Matthews, Steve Randle, Sherri ""Cherry"" Valance, Curly Shepard, Tim Shepard","Tulsa, Oklahoma (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426l/231804.jpg,Mass Market Paperback,,192,Puffin Books (US/CAN),1997,1967,"Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991), Margaret A. Edwards Award (1988)",4.1,938150,,
33,9275658,Legend,Legend ,#1,Marie Lu,"Lu, Marie","What was once the western United States is now home to the Republic, a nation perpetually at war with its neighbors. Born into an elite family in one of the Republic's wealthiest districts, fifteen-year-old June is a prodigy being groomed for success in the Republic's highest military circles. Born into the slums, fifteen-year-old Day is the country's most wanted criminal. But his motives may not be as malicious as they seem.From very different worlds, June and Day have no reason to cross paths—until the day June's brother, Metias, is murdered and Day becomes the prime suspect. Caught in the ultimate game of cat and mouse, Day is in a race for his family's survival, while June seeks to avenge Metias's death. But in a shocking turn of events, the two uncover the truth of what has really brought them together, and the sinister lengths their country will go to keep its secrets.Alternate Cover edition for ISBN 9780399256752",English,"Young Adult, Dystopia, Science Fiction, Romance, Fantasy, Fiction, Adventure, Teen, Action, Post Apocalyptic","June Iparis, Daniel Altan Wing, Metias Iparis, Commander Jameson, Thomas Bryant, Tess, Kaede","Los Angeles, The Republic of America",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501368160l/9275658.jpg,Hardcover,,305,Putnam Juvenile,2011,2011,"Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Lincoln Award Nominee (2014), Missouri Truman Readers Award (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), ""Rebecca Caudill Young Readers Book Award (2015)""",4.17,411041,,
34,14891,A Tree Grows in Brooklyn,,,Betty Smith,"Smith, Betty","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",English,"Classics, Fiction, Historical Fiction, Young Adult, Coming Of Age, Historical, Literature, New York, Novels, Book Club","Francie Nolan, Neeley Nolan, Katie Nolan, Johnny Nolan, Mary Rommely, Sissy Rommely, Eva ""Evy"" Rommely Flittman, Thomas Rommely, Sergeant McShane","Williamsburg, Brooklyn, New York (United States), New York City, New York (United States), United States of America, New York State (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484l/14891.jpg,Paperback,Deckle Page Edition,496,HarperCollins Publishers,2006,1943,Audie Award for Classic (2002),4.27,388454,0061120073,9780061120077
35,11235712,Cinder,The Lunar Chronicles ,#1,Marissa Meyer,"Meyer, Marissa","Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth's fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She's a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister's illness. But when her life becomes intertwined with the handsome Prince Kai's, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world's future.",English,"Young Adult, Fantasy, Science Fiction, Romance, Dystopia, Retellings, Fiction, Fairy Tales, Audiobook, Young Adult Fantasy","Linh Cinder, Queen Levana, Emperor Kai, Iko, Crescent Moon ""Cress"" Darnel, Dr. Dmitri Erland, Sybil Mira, Linh Adri, Linh Peony, Linh Pearl","New Beijing, Eastern Commonwealth",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507557775l/36381037.jpg,Hardcover,,400,Feiwel & Friends,2012,2012,"Golden Duck Award for Young Adult (Hal Clement Award) (2013), Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015), ""Grand Prix de lImaginaire Nominee for Roman jeunesse étranger (2014)"", ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2014)"", Rhode Island Teen Book Award Nominee (2014), California Young Readers Medal for Young Adult (2016), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012), ""Rebecca Caudill Young Readers Book Award Nominee (2016)""",4.14,682555,0312641893,9780312641894
36,248704,It's Kind of a Funny Story,,,"Ned Vizzini, Rachel Cohn (Foreword)","Vizzini, Ned","Ambitious New York City teenager Craig Gilner is determined to succeed at life - which means getting into the right high school to get into the right job. But once Craig aces his way into Manhattan's Executive Pre-Professional High School, the pressure becomes unbearable. He stops eating and sleeping until, one night, he nearly kills himself.Craig's suicidal episode gets him checked into a mental hospital, where his new neighbors include a transsexual sex addict, a girl who has scarred her own face with scissors, and the self-elected President Armelio. There, Craig is finally able to confront the sources of his anxiety.Ned Vizzini, who himself spent time in a psychiatric hospital, has created a remarkably moving tale about the sometimes unexpected road to happiness.",English,"Young Adult, Fiction, Contemporary, Mental Health, Mental Illness, Realistic Fiction, Romance, Psychology, Coming Of Age, Teen","Aaron, Nia, Craig Gilner, Noelle","New York City, New York (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420629730l/248704.jpg,Paperback,,444,Disney-Hyperion,2007,2006,"Lincoln Award Nominee (2009), Goldener Lufti (2008)",4.11,210996,078685197X,9780786851973
